source_product_id,url,missing_ingredients,missing_ga,missing_feeding,missing_calorie
101571,https://www.chewy.com/wysong-archetype-chicken-formula/dp/101571,0,0,0,1
101573,https://www.chewy.com/wysong-archetype-rabbit-formula/dp/101573,0,1,0,1
101575,https://www.chewy.com/wysong-archetype-quail-formula-freeze/dp/101575,0,0,0,1
101591,https://www.chewy.com/wysong-uncanny-blend-freeze-dried-raw/dp/101591,0,0,0,1
101610,https://www.chewy.com/royal-canin-veterinary-diet-adult/dp/101610,0,0,0,1
101612,https://www.chewy.com/royal-canin-veterinary-diet-adult/dp/101612,0,0,0,1
101613,https://www.chewy.com/royal-canin-veterinary-diet-adult/dp/101613,0,0,0,1
1018830,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/1018830,0,0,0,1
102094,https://www.chewy.com/hills-science-diet-adult-perfect/dp/102094,0,0,0,1
102101,https://www.chewy.com/hills-science-diet-adult-sensitive/dp/102101,0,0,0,1
1021190,https://www.chewy.com/ziwi-peak-venison-recipe-grain-free/dp/1021190,0,0,0,1
1021214,https://www.chewy.com/ziwi-peak-tripe-lamb-recipe-grain/dp/1021214,0,0,0,1
102131,https://www.chewy.com/hills-science-diet-adult-small-mini/dp/102131,0,0,0,1
102139,https://www.chewy.com/hills-science-diet-adult-oral-care/dp/102139,0,0,0,1
1021558,https://www.chewy.com/natural-balance-limited-ingredient/dp/1021558,0,0,0,1
1021566,https://www.chewy.com/natural-balance-limited-ingredient/dp/1021566,0,0,0,1
1021582,https://www.chewy.com/natural-balance-limited-ingredient/dp/1021582,0,0,0,1
1022558,https://www.chewy.com/freshpet-vital-healthy-natural-large/dp/1022558,0,0,0,1
1025910,https://www.chewy.com/greenies-smart-essentials-puppy-high/dp/1025910,0,0,0,1
1025934,https://www.chewy.com/greenies-smart-essentials-adult-large/dp/1025934,0,0,0,1
1025966,https://www.chewy.com/greenies-smart-essentials-adult-high/dp/1025966,0,0,0,1
102599,https://www.chewy.com/zignature-duck-limited-ingredient/dp/102599,0,0,0,1
1025998,https://www.chewy.com/greenies-smart-essentials-sensitive/dp/1025998,0,0,0,1
102602,https://www.chewy.com/zignature-zssential-multi-protein/dp/102602,0,0,0,1
1026574,https://www.chewy.com/royal-canin-size-health-nutrition/dp/1026574,0,0,1,1
1026710,https://www.chewy.com/new-zealand-natural-pet-food-co-woof/dp/1026710,0,0,0,1
1026798,https://www.chewy.com/new-zealand-natural-pet-food-co-woof/dp/1026798,0,0,0,1
1026838,https://www.chewy.com/new-zealand-natural-pet-food-co-woof/dp/1026838,0,0,0,1
1028438,https://www.chewy.com/firstmate-small-bites-limited/dp/1028438,0,0,0,1
1028454,https://www.chewy.com/firstmate-small-bites-limited/dp/1028454,0,0,0,1
1028470,https://www.chewy.com/firstmate-small-bites-limited/dp/1028470,0,0,0,1
103057,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103057,0,0,0,1
103215,https://www.chewy.com/wellness-simple-limited-ingredient/dp/103215,0,0,0,1
103219,https://www.chewy.com/wellness-simple-limited-ingredient/dp/103219,0,0,0,1
1032406,https://www.chewy.com/halo-elevate-healthy-grains-chicken/dp/1032406,0,0,0,1
1032430,https://www.chewy.com/halo-elevate-healthy-grains-lamb/dp/1032430,0,0,0,1
1032462,https://www.chewy.com/halo-elevate-grain-free-chicken/dp/1032462,0,0,0,1
1032478,https://www.chewy.com/halo-elevate-healthy-grains-red-meat/dp/1032478,0,0,0,1
1032502,https://www.chewy.com/halo-elevate-grain-free-red-meat/dp/1032502,0,0,0,1
1032526,https://www.chewy.com/halo-elevate-healthy-grains-salmon/dp/1032526,0,0,0,1
1032550,https://www.chewy.com/halo-elevate-grain-free-salmon-recipe/dp/1032550,0,0,0,1
1032702,https://www.chewy.com/halo-elevate-healthy-grains-puppy/dp/1032702,0,0,0,1
103309,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103309,0,0,0,1
103317,https://www.chewy.com/wysong-nurture-quail-dry-dog-cat-food/dp/103317,0,0,0,1
103318,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103318,0,0,0,1
103334,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103334,0,0,0,1
103338,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103338,0,0,0,1
103357,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/103357,0,0,0,1
1033966,https://www.chewy.com/health-extension-pate-variety-pack/dp/1033966,0,1,0,1
103533,https://www.chewy.com/blue-buffalo-basics-skin-stomach-care/dp/103533,0,0,0,1
103541,https://www.chewy.com/blue-buffalo-basics-skin-stomach-care/dp/103541,0,0,0,1
103550,https://www.chewy.com/blue-buffalo-basics-skin-stomach-care/dp/103550,0,0,0,1
103559,https://www.chewy.com/blue-buffalo-basics-skin-stomach-care/dp/103559,0,0,0,1
103565,https://www.chewy.com/blue-buffalo-basics-skin-stomach-care/dp/103565,0,0,0,1
103594,https://www.chewy.com/blue-buffalo-freedom-adult-healthy/dp/103594,0,0,0,1
103600,https://www.chewy.com/blue-buffalo-freedom-adult-lamb/dp/103600,0,0,0,1
103614,https://www.chewy.com/blue-buffalo-freedom-senior-chicken/dp/103614,0,0,0,1
103624,https://www.chewy.com/blue-buffalo-wilderness-healthy/dp/103624,0,0,0,1
1036374,https://www.chewy.com/go-solutions-skin-coat-care-chicken/dp/1036374,0,0,0,1
1036382,https://www.chewy.com/go-solutions-skin-coat-care-salmon/dp/1036382,0,0,0,1
1036390,https://www.chewy.com/go-solutions-skin-coat-care-lamb/dp/1036390,0,0,0,1
